Claude McKay,cmckay,jamaica,,,,,,,,,
authorid,Title,Pubdate,Language,Publisher,City,Country,Pub_id,Genre,Translation,Length,Descriptor
cmckay,Harlem Shadows,2021,English,Mint Editions,"Berkeley, CA",United States,berkeley_ca_united¬†states,Poetry Collection,n,112,
cmckay,Romantica Marsiglia,1995,Italian,Pessime Idee,Rome,Italy,rome_italy,Fiction (Novel),y,166,
cmckay,Fond de banane,1933,French,Les Éditions Rieder,Paris,France,paris_fr_france,Poem,y,333,
cmckay,Cock-Tail Negro,1931,Spanish,Ediciones Ulises,Madrid,Spain,madrid_spain,Fiction (Novel),y,314,
cmckay,Home To Harlem,1928,English,Harper & Brothers,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,340,
cmckay,Songs Of Jamaica,2021,English,A.W. Gardner & Co.,Auckland,New Zealand,auckland_new_zealand,Poetry Collection,n,126,
cmckay,If We Must Die: The Essential Claude Mckay,2022,English,ECCO,Castries,St. Lucia,castries_st.¬†lucia,Poetry Collection,n,128,
cmckay,Amiable With Big Teeth,2018,English,Penguin Books,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,368,
cmckay,Banana Bottom,1933,English,HarperCollins,"New York, NY",United States,new_york_ny_united_states,Fiction (Novel),n,317,
cmckay,Ritorno Ad Harlem,1930,Italian,Modernissima,Milan,Italy,milan_italy,Fiction (Novel),y,281,
cmckay,Domoi Y Garlem,1929,Russian,Zemlia i fabrika,Moskva,Russia,moskva_russia,Fiction (Novel),y,239,
cmckay,Harlem Shadows: Poems,1922,English,Harcourt Brace Jovanovich,"New York, NY",United States,new_york_ny_united_states,Poetry Collection,n,132,
cmckay,Banjo: Une Histoire Sans Intrigue,1929,French,Éditions de l'Olivier,Paris,France,paris_fr_france,Fiction (Novel),y,326,
cmckay,Romance In Marseille,2020,English,Penguin Books,London,England,london_england,Fiction (Novel),n,224,
cmckay,Quartier Noir,1932,French,Rieder,Paris,France,paris_france,Anthology,y,287,
cmckay,A Long Way From Home,1937,English,Rutgers University Press,"New Brunswick, NJ",United States,new_brunswick_nj_united_states,Autobiography/Memoir,n,354,
